48 ports each on 12 slots, with 1 ports per 36 switches
Starting at Fri Nov 20 11:24:58 2015



       108,0
       109,0
       110,0
       111,0
       112,0
       113,0
       114,0
       115,0
       116,0
       117,0
       118,0
       119,0
       120,0
       121,0
       122,0
       123,0
       124,0
       125,0
       126,0
       127,0
       128,0
       129,0
       130,0
       131,0
       132,0
       133,0
       134,0
       135,0
       136,2
       137,0
       138,0
       139,1
       140,3
       141,1
       142,4
       143,0
       144,1
       145,2
       146,1
       147,2
       148,2
       149,9
       150,2
       151,4
       152,12
       153,11
       154,14
       155,12
       156,17
       157,13
       158,15
       159,19
       160,28
       161,27
       162,35
       163,52
       164,55
       165,74
       166,70
       167,92
       168,93
       169,104
       170,128
       171,130
       172,149
       173,199
       174,208
       175,209
       176,249
       177,291
       178,334
       179,368
       180,359
       181,434
       182,449
       183,459
       184,524
       185,500
       186,531
       187,519
       188,503
       189,515
       190,418
       191,408
       192,334
       193,285
       194,223
       195,177
       196,119
       197,89
       198,55
       199,26
       200,16
       201,6
       202,5
       203,3
       204,1
       205,0
       206,0
       207,0
       208,0
       209,0
       210,0
       211,0
       212,0
       213,0
       214,0
       215,0
       216,0
       217,0
       218,0
       219,0
       220,0
       221,0
       222,0
       223,0
       224,0
       225,0
       226,0
       227,0
       228,0
       229,0
       230,0
       231,0
       232,0
       233,0
       234,0
       235,0
       236,0
       237,0
       238,0
       239,0
       240,0
       241,0
       242,0
       243,0
       244,0
       245,0
       246,0
       247,0
       248,0
       249,0
       250,0
       251,0
       252,0
       253,0
       254,0
       255,0
       256,0
       257,0
       258,0
       259,0
       260,0
       261,0
       262,0
       263,0
       264,0
       265,0
       266,0
       267,0
       268,0
       269,0
       270,0
       271,0
       272,0
       273,0
       274,0
       275,0
       276,0
       277,0
       278,0
       279,0
       280,0
       281,0
       282,0
       283,0
       284,0
       285,0
       286,0
       287,0
       288,0
100 seconds elapsed for 10000 iterations

